City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
249,Alofi,NU,-19.0595,-169.9187,76.89,73,75,17.27,broken clouds
250,Araguacu,BR,-12.9306,-49.8264,93.78,21,6,4.61,clear sky
251,Port Lincoln,AU,-34.7333,135.8667,52.59,49,5,23.53,clear sky
252,Murray Bridge,AU,-35.1167,139.2667,54.7,79,0,9.78,clear sky
253,Filingue,NE,14.3521,3.3168,91.89,43,78,9.51,broken clouds
254,Whitehorse,CA,60.7161,-135.0538,79.11,30,8,1.92,clear sky
255,Kahului,US,20.8947,-156.47,83.46,64,20,20.71,few clouds
256,Pevek,RU,69.7008,170.3133,33.24,99,100,12.33,light snow
257,Chicama,PE,-7.8447,-79.1469,64.94,60,3,10.76,clear sky
258,Kampene,CD,-3.6,26.6667,76.6,49,87,2.33,overcast clouds
259,Kavaratti,IN,10.5669,72.642,82.18,77,61,15.7,broken clouds
260,Ormara,PK,25.2088,64.6357,81.43,86,100,16.96,overcast clouds
261,Kapit,MY,2.0167,112.9333,73.65,99,87,1.63,overcast clouds
262,Rundu,NA,-17.9333,19.7667,59.76,36,0,7.05,clear sky
263,Trenggalek,ID,-8.05,111.7167,72.63,96,64,3.96,broken clouds
264,Ordu,TR,40.9086,37.6845,61.3,91,2,4.88,clear sky
265,Tulum,MX,20.2167,-87.4667,90.93,56,59,7.58,broken clouds
266,Casper,US,42.8666,-106.3131,83.01,30,1,4.0,haze
267,Basey,PH,11.2817,125.0683,77.7,91,100,1.1,overcast clouds
268,Atar,MR,20.5169,-13.0499,98.2,27,7,9.82,clear sky
269,Hofu,JP,34.05,131.5667,78.67,87,100,8.66,light rain
270,Aksu,CN,41.1231,80.2644,77.13,16,69,5.28,broken clouds
271,Naftalan,AZ,40.5067,46.825,80.02,52,100,7.0,overcast clouds
272,Morehead,US,37.2711,-87.1764,83.3,61,40,1.99,scattered clouds
273,Ruidoso,US,33.3317,-105.673,78.66,64,75,1.01,broken clouds
274,Constitucion,CL,-35.3333,-72.4167,61.75,50,0,11.41,clear sky
275,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.43,64,97,3.13,overcast clouds
276,Bonavista,CA,48.6499,-53.1147,65.07,66,100,17.72,overcast clouds
277,Boca Do Acre,BR,-8.7522,-67.3978,93.76,24,0,4.18,clear sky
278,Buraydah,SA,26.326,43.975,89.17,9,6,5.79,clear sky
279,Sao Filipe,CV,14.8961,-24.4956,76.01,76,13,8.43,few clouds
280,Santiago Del Estero,AR,-27.7951,-64.2615,66.81,18,0,2.48,clear sky
281,Kochubey,RU,44.3861,46.5825,76.37,65,48,9.37,scattered clouds
282,Upernavik,GL,72.7868,-56.1549,43.63,77,32,13.4,scattered clouds
283,Bejar,ES,40.3864,-5.7634,69.58,58,15,5.99,few clouds
284,Teguldet,RU,57.3064,88.1667,53.22,98,1,2.37,light rain
285,Tuatapere,NZ,-46.1333,167.6833,39.81,93,100,5.57,overcast clouds
286,Ulaangom,MN,49.9811,92.0667,59.23,54,100,3.94,overcast clouds
287,La Ronge,CA,55.1001,-105.2842,80.17,33,4,2.82,clear sky
288,Rawson,AR,-43.3002,-65.1023,64.71,28,20,10.51,few clouds
289,Vao,NC,-22.6667,167.4833,65.62,62,82,12.77,broken clouds
290,Aller,ES,43.1187,-5.5839,64.06,96,77,3.85,broken clouds
291,Tauranga,NZ,-37.6861,176.1667,47.93,69,45,3.0,scattered clouds
292,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,64,87,9.57,overcast clouds
293,Tanout,NE,14.9709,8.8879,91.98,38,100,10.65,overcast clouds
294,Usoke,TZ,-5.1667,32.35,70.23,35,56,5.5,broken clouds
295,Korgen,NO,66.0771,13.8153,51.31,80,42,5.61,scattered clouds
296,Namatanai,PG,-3.6667,152.4333,78.33,84,10,6.55,clear sky
297,Saint-Philippe,RE,-21.3585,55.7679,67.55,74,47,11.1,scattered clouds
298,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,20,18.41,few clouds
299,Alice Springs,AU,-23.7,133.8833,53.15,62,95,6.91,overcast clouds
300,Joensuu,FI,62.6012,29.7632,64.89,79,75,6.91,broken clouds
301,Insar,RU,53.8653,44.3738,69.67,67,100,4.09,overcast clouds
302,Naze,JP,28.3667,129.4833,78.71,87,82,13.2,broken clouds
303,Bluefields,NI,12.0137,-83.7635,87.87,74,40,6.91,scattered clouds
304,Kerouane,GN,9.2667,-9.0167,69.84,97,93,3.74,light rain
305,Mahanoro,MG,-19.9,48.8,64.6,90,29,3.71,scattered clouds
306,Moron,AR,-34.6534,-58.6198,61.81,60,0,2.19,clear sky
307,Saldanha,ZA,-33.0117,17.9442,56.01,90,53,9.69,broken clouds
308,Fort Morgan,US,40.2503,-103.8,82.81,26,1,0.0,clear sky
309,Hami,CN,42.8,93.45,68.9,46,80,6.02,broken clouds
310,Ankang,CN,32.68,109.0172,77.65,73,0,0.89,clear sky
311,Moses Lake,US,47.1301,-119.2781,77.36,65,90,6.91,haze
312,Celestun,MX,20.8667,-90.4,85.17,69,69,13.94,broken clouds
313,Tyshkivka,UA,48.4967,30.9423,73.06,67,0,7.34,clear sky
314,Guanica,PR,17.9716,-66.908,89.51,69,40,8.01,scattered clouds
315,Maceio,BR,-9.6658,-35.7353,76.44,78,75,11.5,broken clouds
316,Falam,MM,22.9167,93.6833,63.7,99,100,2.68,overcast clouds
317,Coquimbo,CL,-29.9533,-71.3436,60.53,72,0,11.5,clear sky
318,Nalut,LY,30.3333,10.85,96.04,10,2,5.86,clear sky
319,Coihaique,CL,-45.5752,-72.0662,53.55,62,90,9.22,overcast clouds
320,Acoua,YT,-12.7239,45.0582,75.11,68,0,9.37,clear sky
321,Torbay,CA,47.6666,-52.7314,72.28,63,13,16.46,few clouds
322,Lavrentiya,RU,65.5833,-171.0,40.23,87,100,11.63,light rain
323,Necochea,AR,-38.5473,-58.7368,57.04,57,4,3.33,clear sky
324,Beshpagir,RU,45.0217,42.3808,78.12,48,16,4.21,few clouds
325,Bubaque,GW,11.2833,-15.8333,79.29,82,76,18.19,moderate rain
326,Bellary,IN,15.15,76.9333,74.48,77,42,16.69,scattered clouds
327,Buchanan,LR,5.8808,-10.0467,76.96,80,70,8.99,broken clouds
